Row,Average
1,0.21499028434724696
2,0.24206967822691927
3,0.29581005462291066
4,0.3034536632762123
5,0.30400784337047304
6,0.30407469270486315
7,0.3107351979433878
8,0.31243196161985803
9,0.31243196161985803
10,0.31311580301643904
11,0.31826083195043564
12,0.31826083195043564
13,0.3242157964531088
14,0.3247540303078045
15,0.33143790547544033
16,0.33353383293149297
17,0.34054978650872253
18,0.34054978650872253
19,0.3413331355763174
20,0.34284838135053475
21,0.34284838135053475
22,0.3428882238874953
23,0.34620499509525954
24,0.3470500999586264
25,0.3471140750099033
26,0.34786782305585606
27,0.3495473648949248
28,0.35127626842178783
29,0.35127626842178783
30,0.35127626842178783
31,0.35314978412019005
32,0.3542211904503542
33,0.3602023331535835
34,0.3615415718765049
35,0.4467320471326972
36,0.45958672975468223
37,0.49627355768415343
38,0.5082389977878257
39,0.5257840675059832
40,0.5257840675059832
41,0.5443273481354988
42,0.5960646640997376
43,0.6443273591780155
44,0.6443273591780155
45,0.6731336407428747
46,0.6939831120164377
47,0.711719619271529
48,0.7397956735001889
49,0.7512948073510728
50,0.7512948073510728
51,0.7518206919714916
